COMBUSTÍVEL,ANO,REGIÃO,ESTADO,UNIDADE,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,TOTAL
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO CENTRO-OESTE,DISTRITO FEDERAL,m3,49144.102,45089.772,45546.011,44237.151,44469.831,43983.942,46248.999,45408.379,40032.818,39047.371,37176.329,38745.149,519129.854
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO CENTRO-OESTE,GOIÁS,m3,6506.703,6259.244,6146.685,5865.417,5918.706,8004.983,6293.235,6219.008,5797.069,5870.134,5152.752,5728.47,73762.406
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO CENTRO-OESTE,MATO GROSSO,m3,6347.954,5072.942,5557.856,4603.933,4245.402,3940.199,3811.853,3933.869,3870.63,3864.436,4159.3,4731.098,54139.472
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO CENTRO-OESTE,MATO GROSSO DO SUL,m3,3540.688,2551.112,2904.02,2729.27,2841.565,2987.454,2334.254,2471.1,2436.617,2316.491,2063.318,2247.211,31423.1
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO SUL,RIO GRANDE DO SUL,m3,16731.927,16052.721,14696.883,13343.842,14015.161,13092.698,13237.026,15202.942,14414.885,15075.025,14811.231,14314.655,174988.996
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO SUL,SANTA CATARINA,m3,12693.995,10426.528,10426.327,8294.591,7155.08,7805.068,8269.546,6981.459,6578.844,6205.729,7970.166,9432.347,102239.68
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO SUL,PARANÁ,m3,17488.214,15842.018,16378.425,14657.447,13947.667,13174.098,14099.447,14426.815,14670.35,14980.964,16335.939,16841.013,182842.397
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO SUDESTE,SÃO PAULO,m3,263470.85,226290.793,237489.253,224410,237534.407,226539.437,244990.836,230087.394,226507.286,240791.333,224827.662,240180.424,2823119.675
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO SUDESTE,RIO DE JANEIRO,m3,99420.757,92803.46,94403.695,92214.286,98242.018,98091.58,109251.457,116799.863,100128.248,94001.482,87753.388,93351.502,1176461.736
QUEROSENE DE AVIAÇÃO (m3),2016,REGIÃO SUDESTE,ESPÍRITO SANTO,m3,3552.224,2838.532,2640.114,1768.068,2084.811,2317.509,2721.353,2366.944,2253.751,2215.891,2696.062,2799.381,30254.64
